code_sage;nom;prix_unitaire;stock_disponible;
AMOCLA_1125_CP_OR;Amoxycilline + Acide Clavulanique 1000mg + 125mg Comprimé;287.500000;.000000;
AMOCLA_1125_SP_OR;Amoxycilline + Acide Clavulanique 1000mg + 125mg Sachet;287.500000;776.000000;
AMOCLA_1200_SI_IV;Amoxycilline + Acide Clavulanique 1000mg+200mg/Flacon injection;1700.000000;.000000;
AMOCLA_625/_CP_OR;Amoxycilline + Acide Clavulanique 500 mg/125 mg, Comprimés;242.870000;.000000;
AMOCLA_550/_SI_IV;Amoxycilline + Acide Clavulanique 500mg+50mg/Flacon injection;.000000;.000000;
AMOXYC_50//_SP_60;Amoxycilline 250 mg / 5ml, Poudre pour Sirop, 60ml ;904.200000;2508.000000;
AMOXIC_250/_CP_OR;Amoxycilline 250 mg, sous blister, Comprimés;15.220000;.000000;
AMOXIC_500/_CP_OR;Amoxycilline 500 mg, sous blister, Comprimés;40.260000;.000000;
AMOXIC_500/_GE_OR;Amoxycilline 500 mg, sous blister, Gélule;40.260000;199500.000000;
AMPEAU_312/_SI_IV;Ampiciline + Eau 1000 mg/3,2ml injection;323.400000;.000000;
AMPICI_312/_SI_IV;Ampiciline 1000 mg/3,2ml injection;296.000000;26810.000000;
ANALCLIN_CHEMISTR;Analyser, clinical chemistry;.000000;.000000;
ANALHAEM_18//////;Analyser, haematology, 18;.000000;.000000;
ANTIHIV12BSP_TEST;Anti-HIV (1&2) test colloidal gold (whole Blood/Serum/Plasma;.000000;.000000;
ANTITE_1500_AM_IM;Antitoxine Tétanique, humaine 1500 UI /ml ,1ml  vial;1782.000000;970.000000;
APFER/_200/_SP_OR;Apfer Sirop 200ML;1426.000000;.000000;
APPGLY_LABPRO/_//;Appareil Glycémie Labpro;.000000;.000000;
APPGLY_VERI-Q/_//;Appareil Glycémie VERI-Q;19800.000000;.000000;
APROHEAVDUTY_////;Apron Heavy duty;.000000;.000000;
APRPRO_PAC-100_CU;Apron, protection, plastic. disp. PAC-100;.000000;.000000;
AQUATA_67//_CP_OR;Aquatabs 67 mg/20ml, comprimé;13.000000;.000000;
ARTLUM_1260_SP_OR;Artemether + Luméfantrine 180/1080 mg sirop 60 ml;1794.500000;.000000;
ARTLUM_1401_CP_OR;Artemether + Luméfantrine 20/120 mg (6x1) comprimés;.000000;.000000;
ARTLUM_1402_CP_OR;Artemether + Luméfantrine 20/120 mg (6x2) comprimés;.000000;.000000;
ARTLUM_1403_CP_OR;Artemether + Luméfantrine 20/120 mg (6x3) comprimés;.000000;.000000;
ARTLUM_1404_CP_OR;Artemether + Luméfantrine 20/120 mg (6x4) comprimés;.000000;.000000;
ARTLUM_560/_CP_OR;Artemether + Luméfantrine 80/480 mg CP;.000000;.000000;
ARTEME_20//_AM_IV;Artemether 20mg/ml injection, ampoule;450.130000;.000000;
ARTEME_80//_AM_IV;Artemether 80 mg, injectable, ampoule;508.200000;5673.000000;
ARTAMO_3703_CP_OR;Artésunate + Amodiaquine 100/270 mg, 3 comprimés;116.160000;.000000;
ARTAMO_3706_CP_OR;Artésunate + Amodiaquine 100/270 mg, 6 comprimés;180.840000;.000000;
ARTAMO_87.5_CP_OR;Artésunate + Amodiaquine 25mg + 67,5mg Comprimé;.000000;.000000;
ARTAMO_185/_CP_OR;Artésunate + Amodiaquine 50mg + 135mg Comprimé;.000000;.000000;
ARTESU_100/_CA_RE;Artésunate 100mg cpsule rectale;.000000;.000000;
ARTESU_30//_AM-IV;Artésunate 30mg injection;.000000;.000000;
ARTESU_60//_AM-IV;Artésunate 60mg injection;.000000;.000000;
ASPCAR_100/_CP_OR;Aspirine Cardio 100MG CP, B/30;1186.800000;.000000;
ATAZAN_300/_CP_OR;Atazanavir 300mg Comprimé;.000000;.000000;
ATARIT_400/_CP_OR;Atazanavir300mg+ritonavir 100mg comp;.000000;.000000;
ATROSU_1///_AM_IV;Atropine Sulfate 1mg/ml 1 ml, ampoule;277.200000;11040.000000;
AUTOV2UNCA//_DEV/;Auto V2 Univeral Cartridge Based Sample Prep Device;.000000;.000000;
AUTTES_////_//_//;Auto-Test VIH;.000000;.000000;
AZITRI_250/_CP_OR;Azitrine 250mg CP, B/5;1990.650000;.000000;
BANCRE_10X4///_CU;Bande de crêpe 10 cm X 4 m;389.400000;5334.000000;
BANCRE_7.5X4//_CU;Bande de crêpe 7.5 cm x 4 m;330.000000;.000000;
BANIMM_3.6X10/_CU;BANDE IMMO DELTA LITE+ BLANC 3,6M*10CM;.000000;.000000;
BANIMM_3.6X12._CU;BANDE IMMO DELTA LITE+ BLANC 3,6M*12,5CM;.000000;.000000;
BANIMM_3.6X7.5_CU;BANDE IMMO DELTA LITE+ BLANC 3,6M*7,5CM;.000000;.000000;
BANDEL_GLUCOME_LA;Bandelette Glycémie LabPro, B/50;13200.000000;.000000;
BANREA_GLYCEMI_//;Bandelettes glycemie Accu-Check , B/50;13200.000000;.000000;
BANDEL_GLUCOME_VQ;Bandelettes glycemie VERI-Q , B/50;13860.000000;.000000;
BATUPS_3000VA_//;Batery Pack of UPS 3000VA;.000000;.000000;
BATUPS_3000VA/_//;Battery pack for UPS 3000 VA;.000000;.000000;
BATUPS_700VA//_//;Battery pack for UPS 700 VA;.000000;.000000;
BATTSUPP_PRIMILED;Battery Supply Unit with adapter able set for Primo Star iLED;.000000;.000000;
BATTUNIT_CARLZEIS;Battery Unit for Carl Zeiss Primo Star;.000000;.000000;
BEEXDE_//////////;BeneHeart C2External Defibrilator;.000000;.000000;
PENIGB_2.4M_SI_IM;Benzathine Benzyl Pénicilline 2,4 MUI injection;382.300000;5390.000000;
BENZOA_25%/_SC_12;Benzyle Benzoate Solution 25% , diluée, 125 ml Flacon;1089.000000;.000000;
PENIG/_1MU/_SI_IM;Benzylpénicilline Sodique 1MUI injection;196.380000;.000000;
PENIG/_5MU/_AM_IV;Benzylpénicilline Sodique PPI 5 Méga UI, vial;462.000000;6600.000000;
BETADI_10%1_SC_CU;Betadine 10% Dermiq 125ML JAUNE;1553.650000;.000000;
BETVAG_10%1_SC_CU;Bétadine vaginal 10% SOL, Bleu 125Ml;1238.550000;.000000;
BIOBAG_///////_//;Bio-hazard bag;.000000;.000000;
METHYL_100%///_//;Bleu de méthylène, poudre/Unité;.000000;.000000;
BLOOCOLL_NEONATES;Blood Collection Neonates;.000000;.000000;
BLOISO_SANSPOI_CU;Blouse d'isolation sans poignet;.000000;.000000;
SURGOW_L//////_//;Blouses chirurgicales type gowns taille L;.000000;.000000;
BONCHEMISE_CARTE/;Bon Chemin de Santé (CPS);108.000000;12210.000000;
BOOTS/_PVC////_CU;BOOTS PVC, paire;.000000;.000000;
BUCKSWIN_380-380R;BUCKET FOR SWING OUT ROTOR (ROTINA 380/380R) SET OF 4 380/380R;.000000;.000000;
BUNSEN_///////_//;Bunsen bumer;.000000;.000000;
BUPIVA_0.5%_SI_IV;Bupivacaïne  0,5% injection;.000000;.000000;
CAC///_1000_CP_OR;C.A.C 1000 CP Eff T/10;1534.100000;.000000;
CABOTE_600/_SI_IV;Cabotegravir 600mg Inject;.000000;.000000;
CAHBONCOMM_FACTUR;Cahier de bon de commande/facturation;2900.000000;572.000000;
CAHCAI_///////_//;Cahier de Caisse analytique;1182.000000;260.000000;
CAHDEPENSE_COGE//;Cahier de dépenses du COGE;1182.000000;403.000000;
CAHDEPENSE_COMMIS;Cahier de dépenses du commis;3000.000000;103.000000;
CAVAUR_CSI-CMA_//;Caisse pour Valise d'Urgence Niveau CSI/CMA;15180.000000;.000000;
CAVAUR_HD-HR//_//;Caisse pour Valise d'Urgence Niveau HD/HR;.000000;.000000;
CALCID_////_CP_OR;Calcid DENK CP EFF, T/20;4206.700000;.000000;
CALCGL_10%/_AM_IV;Calcium Gluconate 10% 1 g / 10 ml, ampoule;165.000000;.000000;
CALSOU_500/_CP_OR;Calsource 500MG CP Eff, B/20;1938.900000;.000000;
CAPSUR_NW100//_CU;Cap, surgical, bouffant, non-woven.box/100;.000000;.000000;
CARBOC_2%//_SP_OR;Carbocystéine 2% sirop;924.000000;985.000000;
CARBOC_20//_SP_OR;Carbocystéïne 2g/100 ml, flacon de 125 ml;660.000000;.000000;
CARBOC_5%//_SP_OR;Carbocystéine 5% sirop;825.000000;1100.000000;
CARBOC_5%20_SP_OR;Carbocystéine 5% sirop, 200ml;1452.000000;.000000;
CASTMA_HRP2_//_//;Care Star Malaria HRP-2;.000000;.000000;
CARNET_PATIENT_//;Carnet de Reçu des Médicaments (Facturier Patient);792.000000;3160.000000;
CARNET_CONSUL/_//;Carnet de Santé GM (Consultation curative);165.000000;12400.000000;
CARTCONSUL_CPN///;Carte de Consultation Prénatale (CPN);62.000000;34327.000000;
CASMIC_///////_//;Case for transport and storage microscop;.000000;.000000;
CATHET_TCUU24G_//;Catheter I.V. Type Court, Luer, UU, section 0.70 mm, 24G;231.000000;7215.000000;
CATHET_TCUU22G_//;Catheter I.V. Type Court, Luer, UU, section 0.80 mm, 22G;231.000000;5755.000000;
CATHET_TCUU20G_//;Catheter I.V. Type Court, Luer, UU, section 1.10 mm, 20G;207.240000;3428.000000;
CATHET_TCUU18G_//;Catheter I.V. Type Court, Luer, UU, section 1.30 mm, 18G;207.240000;2230.000000;
CEX12PM/_EDAN1///;CE, X12 Patient Monitor, EDAN1;.000000;.000000;
CEFIDI_200/_CP_OR;Cefidis 200MG CP, B/10;2725.500000;.000000;
CEFIXI_200M_CP_OR;Cefixime 200 Mg Cp;.000000;.000000;
CEFIXI_100/_SP_OR;Cefixime SP 100MG PDR, Fl/6ML;3915.750000;.000000;
CEFIXI_200/_CP_OR;Céfixime SP 200Mg CP, B/10;3897.350000;.000000;
CEFOTA_1000_SI_IV;Cefotaxime 1000mg injection;792.000000;.000000;
CEFEAU_285._SI_IV;Ceftriaxone + Eau 1000mg/3,5ml injection;528.000000;15515.000000;
CEFTRI_285._SI_IV;Ceftriaxone 1000mg/3,5ml injection;440.000000;26495.000000;
CHARLO_///////_CU;Charlottes;.000000;.000000;
CHLORP_4///_CP_OR;Chlorpheniramine Maléate 4 mg, sous blister, comprimés;8.000000;139700.000000;
SODICH_9%50_SF_IV;Chlorure de sodium (Nacl) 0,9%/500ml Solution;.000000;.000000;
CIMETI_200/_SI_IV;Cimetidine 200MG INJ;66.000000;2000.000000;
CIPROF_100/_SI_IV;Ciproflo UBI 100MG INJ F/50ML;1170.700000;.000000;
CIPROF_50//_SP_OR;Ciprofloxacine 250mg/5ml Suspension orale;.000000;.000000;
CIPROF_2///_SI_IV;Ciprofloxacine 2mg/ml injection;1452.000000;525.000000;
CIPROF_500/_CP_OR;Ciprofloxacine, 500 mg, Comprimés;67.860000;30300.000000;
CLABAR_///////_//;Clamp de Barr (ombilical);105.000000;1058.000000;
CLAVIC_1///_SI_IV;Clavicin 1G/200MG INJ B/1;1787.100000;.000000;
CLAVIC_1000_CP_OR;Clavicin XR 1G CP, B/10;3393.650000;.000000;
CLEWEL_HEATSEA_//;Clear Weld Heat Seal (Feuillet adhesive);.000000;.000000;
CLINDA_150/_GE_OR;Clindamycine 150mg gélule;.000000;.000000;
CLINDA_300/_GE_OR;Clindamycine 300mg gélule;.000000;.000000;
CLOXAC_50//_SP_OR;Cloxaciline Sirop 250MG/5ML Fl;1452.000000;517.000000;
CLOEAU_200/_SI_IV;Cloxacilline + Eau 500mg/2,5ml, 1000mg/5ml injection;303.600000;.000000;
CLOXAC_250/_CP_OR;Cloxacilline 250 mg, sous blister, Comp.;17.700000;.000000;
CLOXAC_250/_GE_OR;Cloxacilline 250 mg, sous blister, Gélule.;17.700000;.000000;
CLOXAC_500/_GE_OR;Cloxacilline 500mg Gélule;66.000000;20370.000000;
CLOXAC_200/_SI_IV;Cloxacilline 500mg/2,5ml, 1000mg/5ml injection;290.400000;2000.000000;
CLOXAC_25//_SI_IV;Cloxacilline Solution orale 125mg/5ml injection;.000000;.000000;
COLMGG_////_//_//;Colorant M.G.G, 200ml;3680.000000;.000000;
COMBIN_PROTECT_CU;Combinaison de protection;.000000;.000000;
VITBCP_15//_CP_OR;Complexe vitaminique B1 B6 B12 15 mg comprimé;.000000;.000000;
CONFEM_////_//_//;Condom (préservatif Féminin);264.000000;.000000;
CONMAS_////_//_//;Condom (préservatif masculin);3.630000;.000000;
COPOVA_///////_CU;Corps de pompes Vacutaner;.000000;.000000;
COTOCA_500////_CU;Coton Cardé, Rouleau, 500 g, pièce;2614.000000;.000000;
COTOHY_500////_CU;Coton Hydroplhile, Rouleau, Non Stérile, 500 g, pièce;3036.000000;137.000000;
COTRIM_480/_CP_OR;Cotrimoxazole (Sulfamethoxazole + Trimethoprine) (400mg + 80 mg)Comp;17.160000;59200.000000;
COTRIM_480/_SI_IV;Cotrimoxazole (Sulfamethoxazole + Trimethoprine) (400mg+80mg)/5ml inj;.000000;.000000;
COTRIM_48//_SP_OR;Cotrimoxazole (Sulfamethoxazole + Trimethoprine) 240 mg / 5 ml, Suspe;759.000000;2965.000000;
COTRIM_960/_SI_IV;Cotrimoxazole (Sulfamethoxazole + Trimethoprine) 800 mg + 160mg injec;.000000;.000000;
COTRIM_960/_CP_OR;Cotrimoxazole (Sulfamethoxazole+Trimethoprine) 800mg+160mg Cp;.000000;.000000;
COVPRO_TY6BL//_CU;Coverall, protection,catlll, type 6b.L;.000000;.000000;
COVPRO_TY6BM//_CU;Coverall, protection,catlll, type 6b.M;.000000;.000000;
COVPRO_TY6BXL/_CU;Coverall, protection,catlll, type 6b.XL;.000000;.000000;
COVID19-TEST_AGCN;COVID-19 AG Antigen card test (Nasopharyn);.000000;.000000;
CRAPLA_///////_//;Crachoir en plastique avec couvercle;.000000;.000000;
CRP///_KIT/_//_//;CRP;.000000;.000000;
CRYLAS_SHEETS/_//;Cryo laser sheets;.000000;.000000;
CRYTUB_STERILE_//;Cryotube Sterile self-standing;.000000;.000000;
CYTEAL_////_SC_CU;Cyteal Sol Ext, F/250ML;2679.500000;.000000;
DARUNA_300/_CP_OR;Darunavir 300mg Comprimé;.000000;.000000;
DARUNA_600/_CP_OR;Darunavir 600mg Comprimé;.000000;.000000;
DEPOPR_150/_AM_IM;Depo-Provera 150 mg/ml ampoule inj., unité;72.600000;.000000;
DERMOB_////_SC_CU;Dermobacter, solution mous. pour application locale, fl de 300 ml;1782.000000;.000000;
DESSIM_KLORS87_//;"Désinfectant for simultaneous disinfecting ""klorsept 87""";.000000;.000000;
DETERG_////_//_1/;Détergents;.000000;.000000;
DETERM_EARLDET_//;Determine Early Detect;.000000;.000000;
DETERM_HEPATIT_//;Determine Hepatite;.000000;.000000;
DETERM_KIT////_//;Determine HIV 1/2 TEST KIT  DE 100;.000000;.000000;
DETERMINELAM_TBAG;Determine TB LAM Ag;.000000;.000000;
DEXAME_4///_CP_OR;Dexaméthasone 4mg sous blister, Comprimés;.000000;.000000;
DEXAME_4///_SI_IV;Dexaméthasone 4mg/ml injection;132.000000;36924.000000;
DEXAME_5///_CP_OR;Dexaméthasone 5mg, sous blister, Comprimés;27.270000;.000000;
KITZN/_DISPKIT_//;Diagnostic consumable kit ZN disposables standard;.000000;.000000;
KITZN/_ST/////_//;Diagnostic cunsumable kit ZN chemicals standard;.000000;.000000;
DIAZEP_5///_CP_OR;Diazepam 5 mg, sous blister,  Comprimés;2.420000;.000000;
DIAZEP_5///_SI_IV;Diazepam 5 mg/ml, 10 mg / 2 ml, ampoule;660.000000;16842.000000;
DICLSO_25//_SI_IV;Diclofénac Sodique 25mg/ml, 75 mg/3ml, Ampoule;85.500000;47105.000000;
DICLSO_50//_CP_OR;Diclofénac Sodique 50 mg, sous blister, Comprimés;6.230000;59300.000000;
DICYNO_250/_SI_IV;Dicynone 250MG AMP INJ B/4;2158.550000;.000000;
DIGITI_2CHANNE_//;Digital timer, 2 channels;.000000;.000000;
DISPOSAPRON/_////;Disposable Apron;.000000;.000000;
DISBOU_///////_CU;Disposable Boufant cap;.000000;.000000;
DISPOSCAP///_////;Disposable cap;.000000;.000000;
DISPFACESHIE_////;Disposable Face Shield;.000000;.000000;
DISPISOLGOWN_////;Disposable isolation Gown;.000000;.000000;
DIU///_////_IP_VA;Dispositif Intra-Uterin (DIU), unité;25.000000;.000000;
DNALOO_KIT////_//;DNA Extraction Kit loopam, 90 tests;.000000;.000000;
DOLIPR_1000_CP_OR;Doliprane 1000MG CP EFF B/8;1124.700000;.000000;
DOLUSO_10//_CP_OR;Dolutégravir sodique 10mg comprimé;.000000;.000000;
DOLUSO_50//_CP_OR;Dolutégravir sodique 50mg comprimé;.000000;.000000;
DOXYCY_100/_CP_OR;Doxycycline 100mg Comprimé;33.000000;59400.000000;
AZITHR_250/_CP_OR;Doxycycline 250mg Comprimé;.000000;.000000;
AZITHR_500/_CP_OR;Doxycycline 500mg Comprimé;.000000;.000000;
DOXCRE_100/_CP_OR;Doxycycline CRE 100 BL10X10CES;3599.500000;.000000;
DRYRAC_40P////_//;Drying rack for stainless steel, 40 positions;.000000;.000000;
DYNAMO_////_SI_BU;Dynamogen Amp Buv B/20;3569.600000;.000000;
AEDHOO_//////////;EAD Hook (Green);.000000;.000000;
EAUJAV_////_//_1/;Eau de javel;.000000;.000000;
EAUOXY_250/_FL_CU;Eau Oxygénée 10V GILB ET/250ML;1666.350000;.000000;
EAUOXY_120/_FL_CU;Eau Oxygénée 10V GILB FL/120 ML;.000000;.000000;
EPPI//_10//_SI_IV;Eau pour préparation injectable (EPPI) 10ml injection ou flapule;66.000000;900.000000;
EPPI//_5///_SI_IV;Eau pour préparation injectable (EPPI) 5ml injection ou flapule;32.000000;.000000;
EFAVIR_200/_CP_OR;Efavirenz 200mg Comprimé;.000000;.000000;
EFAVIR_30//_SP_OR;Efavirenz 30 mg/ml suspension buvable;.000000;.000000;
EFAVIR_50//_CA_OR;Efavirenz 50 mg, capsules;.000000;.000000;
EFAVIR_600/_CP_OR;Efavirenz 600mg Comprimé;.000000;.000000;
EFFERA_150/_SU_RE;Efferalgan 150MG SUPPO/10 AFR;855.600000;.000000;
EFFERA_1000_CP_OR;Efferalgan Cod CP, EFF/16;1660.600000;.000000;
EFFERA_500/_CP_OR;Efferalgan Med 500MG CP EFF/16;1127.000000;.000000;
ELECSUCTPUMP/_///;Electrical Suction pump;.000000;.000000;
ELUDRI_////_CL_OR;Eludril Sol, Fl/90ML;1370.800000;.000000;
EMBMIC_100-10J_//;Embout Blanc  pour Micropipette;12.300000;.000000;
EMBMIC_10-100/_//;Embout Bleu pour Micropipette;12.300000;.000000;
EMJAMI_////_//_//;Embout Jaune pour Micropipette;12.300000;.000000;
EOSINE_2%//_SC_TR;Eosine AQ 2% CPF Fl/100ML;1312.150000;.000000;
EPHEDR_25//_AI_IV;Ephédrine 25mg/ml  injection;3300.000000;.000000;
PROGME_150/_SI_IV;Equilibre (Médroxyprogesterone Acétate) 150mg/ml injection;75.000000;.000000;
ERYTHR_25//_SP_OR;Erythromycine 125mg/5ml sirop (F/100ml);1050.000000;.000000;
ERYTHR_250/_CP_OR;Erythromycine 250mg Comprimé;.000000;.000000;
ERYTHR_50//_SP_OR;Erythromycine 250mg/5ml sirop;.000000;.000000;
ERYTHR_500/_CP_OR;Erythromycine 500mg Comprimé;72.600000;9800.000000;
ETHAMB_100/_CP_OR;Ethambutol 100mg Comprimé;.000000;.000000;
ETHAMB_400/_CP_OR;Ethambutol 400mg Comprimé ;.000000;.000000;
ETHANO_500/_CP_OR;Ethambutol 500mg Comprimé ;.000000;.000000;
ETHANO_99.8%//_//;Ethanol Absolu 99,8% Flacon de 1L;.000000;.000000;
EXHAFILT_900-1200;EXHAUST FILTER (2 PIECES ) FOR MARS 900/1200 AND MARS PRO 900/1200;.000000;.000000;
EYEWEAR/_////////;Eye wear;.000000;.000000;
FACESHILMOD/_3322;Face shields Model 33x22 cm;.000000;.000000;
FACESH_///////_//;Faceshield, Fog resistant, Fullface (Visière);.000000;.000000;
FASCCO_PAPIERT_//;Fasc Count Papier Thermique BD Rouleaux;.000000;.000000;
FDRXAIR/_KITTSAI/;FDR Xair System-Full kit with thyroid shield+AI Hardware and Qure AI,;.000000;.000000;
FERCOM_////_CP_OR;Fer Acide folique +complexe Vit Gel ;57.500000;.000000;
FERFOL_200/_SP_OR;Fer Acide Folique Vit B12 ( F/200ml);825.000000;750.000000;
FERFOL_66.2_CP_OR;Ferreux Sel + Folique Acide (66 mg Fe2+ + 0.25 mg) Comprimés;9.000000;252000.000000;
FERFOL_120/_SP_OR;Ferromix SP Fl/120ML MEPACO;2133.120000;250.000000;
FICSTO_///////_//;Fiche de Stock Commis;75.000000;760.000000;
FILSNR_VICR2RO_//;Fil de Suture NR, Nylon N° 2/0, sertie, Aiguille Ronde, pce;1320.000000;2.000000;
FILSNR_VICR2TR_//;Fil de Suture NR, Nylon N° 2/0, sertie, Aiguille tranchante, pce;1320.000000;652.000000;
FILSR/_VICR2RO_//;Fil de Suture résorbable Vicryl N° 2/0 sertie,  Aiguille ronde, pce;2100.000000;.000000;
FILSR/_VICR2TR_//;Fil de Suture résorbable Vicryl N° 2/0 sertie,  Aiguille Tranch, pce;2100.000000;.000000;
FILSR/_VICR3TR_//;Fil de Suture résorbable Vicryl N° 3/0 sertie,  Aiguille tranch, Pce;2100.000000;.000000;
FILSR/_VICR0RO_//;Fil de Suture résorbable Vicryl N°0 sertie, Aiguille ronde, pce;2100.000000;.000000;
FILSR_VICR1RO_//;Fil de Suture résorbable Vicryl N°1 sertie, Aiguille ronde, pce;2100.000000;270.000000;
FILSR/_VICR1TR_//;Fil de Suture résorbable Vicryl N°1 sertie, Aiguille tranch, pce;2100.000000;12.000000;
FILSR/_VICR2-0R_//;Fil de Suture résorbable Vicryl N°2 sertie, Aiguille ronde, pce;2100.000000;.000000;
FILSR/_VICR2//_//;Fil de Suture résorbable Vicryl N°2 sertie, Aiguille tranch, pce;2100.000000;.000000;
SUTVIC_4/0;Fil de Suture Vicryl 4/0;1500.000000;.000000;
FILSNR_2POL/AT_//;Fil SNR, polyam N°2,  Aiguille Triangulaire;1306.830000;.000000;
FILSR/_2-0R///_//;Fil SR, Ac polygly, N°2/0, Serti, Aiguille Ronde;1861.160000;.000000;
FILSR/_0+75R//_//;Fil SR, acid polygly, N°0_75 Aiguille Ronde 40;1746.330000;.000000;
FILSR/_2-0+75R_//;Fil SR, acid polygly, N°2/0_75 Aiguille Ronde 40;1746.330000;.000000;
FILTIP_1000UI/_//;Filter Tips 1000 µl;.000000;.000000;
FILTIP_2.20UI/_//;Filter Tips 2 - 20 µl;.000000;.000000;
FILTIP_2.200UI_//;Filter Tips 2 - 200 µl;.000000;.000000;
FINOXI_///////_CU;Finger oximeter;.000000;.000000;
TESTHIVSYCOM_FIRS;First reponse HIV / Syphilis Combo;.000000;.000000;
TESTHIV1-2CA_FIRS;First reponse HIV-1-2 card test;.000000;.000000;
FIXEDVOLMICR_////;Fixed volume precision micropipette 6µl;.000000;.000000;
FLAVER_100CC//_//;Flacon en Verre 100ml;145.000000;.000000;
FLAVER_125CC//_//;Flacon en Verre 125ml + Bouchons;250.000000;.000000;
FLAPLA_1L//_//_//;Flacon Plastique 1 litre + Bouchon blanc;.000000;.000000;
FLAPLA_100CC//_//;Flacon Plastique, avec Couvercle 100 cc, ;145.200000;.000000;
FLUCAZ_50//_SP_OR;Flucazol 50MG PDR SUSP FL/60ML;1073.450000;158.000000;
FLUCON_2///_SI_IV;Fluconazole 2mg/ml, 200mg/100ml injection;.000000;.000000;
FLUCON_400/_CP_OR;Fluconazole 400mg Comprimé;.000000;.000000;
FLUCON_200/_CP_OR;Fluconazole, 200mg Comprimé;130.000000;7200.000000;
FLUMAZ_0.1/_SI_IV;Flumazénil 0,5mg/5ml injection;.000000;.000000;
FLUOSO_10%/_SI_IV;Fluoreceïne sodique 10% injection;.000000;.000000;
FLUORE_1%//_CO_OC;Fluorescéine 1% Collyre;.000000;.000000;
FLUORE_10%/_SI_IV;Fluorescéine 10% Injection;.000000;.000000;
METHOL_0.1%_CO_OC;Fluorométholone 0,1% Collyre;.000000;.000000;
FLUOXE_20//_CP_OR;Fluoxétine 20mg Comprimé/gélule;.000000;.000000;
FLUPEX_200/_CP_OR;Flupex 200MG CP, B/10;2633.500000;.000000;
FLUPHE_25//_SI_IV;Fluphénazine 25mg/ml/5ml injection;.000000;.000000;
FORCEP_11.5///_//;Forceps for microscope slides 11,5cm;.000000;.000000;
FORMOL_40%/_SF_PI;Formol 40% solution;.000000;.000000;
FUCOGR_1///_//_//;Fuchisne Coloration Gram f/1 litre;.000000;.000000;
FUROSE_40//_CP_OR;Furosemide  40 mg, sous blister, Comprimés;4.300000;.000000;
FUROSE_10//_SI_IV;Furosémide 10 mg/ml, 20 mg/2ml, ampoule;49.900000;70.000000;
FUROSE_10//_SI_2/;Furosémide 10mg/ml/2ml injection;.000000;.000000;
