code_sage;nom;unite;prix_unitaire;stock_disponible
DOXCRE_100/_CP_OR;Doxycycline CRE 100 BL10X10CES;Boite;3599.500000;.000000
DRYRAC_40P////_//;Drying rack for stainless steel, 40 positions;Boite;.000000;.000000
DYNAMO_////_SI_BU;Dynamogen Amp Buv B/20;Boite;3569.600000;.000000
AEDHOO_//////////;EAD Hook (Green);Boite;.000000;.000000
EAUJAV_////_//_1/;Eau de javel;Boite;.000000;.000000
EAUOXY_250/_FL_CU;Eau Oxygénée 10V GILB ET/250ML;Boite;1666.350000;.000000
EAUOXY_120/_FL_CU;Eau Oxygénée 10V GILB FL/120 ML;Boite;.000000;.000000
EPPI//_10//_SI_IV;Eau pour préparation injectable (EPPI) 10ml injection ou flapule;Boite;66.000000;900.000000
EPPI//_5///_SI_IV;Eau pour préparation injectable (EPPI) 5ml injection ou flapule;Boite;32.000000;.000000
EFAVIR_200/_CP_OR;Efavirenz 200mg Comprimé;Boite;.000000;.000000
EFAVIR_30//_SP_OR;Efavirenz 30 mg/ml suspension buvable;Boite;.000000;.000000
EFAVIR_50//_CA_OR;Efavirenz 50 mg, capsules;Boite;.000000;.000000
EFAVIR_600/_CP_OR;Efavirenz 600mg Comprimé;Boite;.000000;.000000
EFFERA_150/_SU_RE;Efferalgan 150MG SUPPO/10 AFR;Boite;855.600000;.000000
EFFERA_1000_CP_OR;Efferalgan Cod CP, EFF/16;Boite;1660.600000;.000000
EFFERA_500/_CP_OR;Efferalgan Med 500MG CP EFF/16;Boite;1127.000000;.000000
ELECSUCTPUMP/_///;Electrical Suction pump;Boite;.000000;.000000
ELUDRI_////_CL_OR;Eludril Sol, Fl/90ML;Boite;1370.800000;.000000
EMBMIC_100-10J_//;Embout Blanc  pour Micropipette;Boite;12.300000;.000000
EMBMIC_10-100/_//;Embout Bleu pour Micropipette;Boite;12.300000;.000000
EMJAMI_////_//_//;Embout Jaune pour Micropipette;Kit;12.300000;.000000
EOSINE_2%//_SC_TR;Eosine AQ 2% CPF Fl/100ML;Boite;1312.150000;.000000
EPHEDR_25//_AI_IV;Ephédrine 25mg/ml  injection;Boite;3300.000000;.000000
PROGME_150/_SI_IV;Equilibre (Médroxyprogesterone Acétate) 150mg/ml injection;Boite;75.000000;.000000
ERYTHR_25//_SP_OR;Erythromycine 125mg/5ml sirop (F/100ml);Boite;1050.000000;.000000
ERYTHR_250/_CP_OR;Erythromycine 250mg Comprimé;Boite;.000000;.000000
ERYTHR_50//_SP_OR;Erythromycine 250mg/5ml sirop;Boite;.000000;.000000
ERYTHR_500/_CP_OR;Erythromycine 500mg Comprimé;Boite;72.600000;10000.000000
ETHAMB_100/_CP_OR;Ethambutol 100mg Comprimé;Boite;.000000;.000000
ETHAMB_400/_CP_OR;Ethambutol 400mg Comprimé ;Boite;.000000;.000000
ETHANO_500/_CP_OR;Ethambutol 500mg Comprimé ;Boite;.000000;.000000
ETHANO_99.8%//_//;Ethanol Absolu 99,8% Flacon de 1L;Boite;.000000;.000000
EXHAFILT_900-1200;EXHAUST FILTER (2 PIECES ) FOR MARS 900/1200 AND MARS PRO 900/1200;Boite;.000000;.000000
